filename,hypothesis,overall-score,decoder-score,lm-score,ctc-score
anju_Intonation_L1_001.wav,SO ILL BE HERE SOON,-35.54591751098633,-7.151732444763184,-26.401330947875977,-13.794571876525879
anju_Intonation_L1_010.wav,DID JOHN POST THAT LETTER,-31.738317489624023,-1.371304988861084,-30.418359756469727,-1.2001391649246216
anju_Intonation_L1_012.wav,GOOD MORNING,-17.555692672729492,-3.36464524269104,-14.91603946685791,-0.9480068683624268
anju_Phoneme_L1_022-1.wav,HOW,-14.934993743896484,-3.696931838989258,-11.470965385437012,-2.920588731765747
anju_Stress_L1_003.wav,STATELY,-19.409154891967773,-2.3266875743865967,-17.15554428100586,-2.0830979347229004
anju_Stress_L1_008.wav,BEFORE,-17.232131958007812,-1.8787672519683838,-14.765361785888672,-3.8387808799743652
anju_Stress_L1_014.wav,I HAVE HEARD,-28.895977020263672,-9.431900978088379,-14.742643356323242,-25.170015335083008
anju_Stress_L1_029.wav,COME THEN,-19.944456100463867,-6.317962169647217,-13.442924499511719,-6.929861545562744
anju_Stress_L2_001.wav,THAT PLACE,-22.1367244720459,-6.205694198608398,-15.636585235595703,-7.18717622756958
anju_Stress_L2_003.wav,NOT ME,-17.133045196533203,-4.93795108795166,-13.394761085510254,-0.9390609860420227
anju_Stress_L2_005.wav,GOOD BY,-18.87747573852539,-6.5917158126831055,-13.510296821594238,-2.5099260807037354
anju_Stress_L2_006.wav,BUT MINING,-22.2255916595459,-6.548342704772949,-17.277116775512695,-1.2154561281204224
anju_Stress_L2_007.wav,IM GOING PAST,-39.14946365356445,-10.793928146362305,-19.39776039123535,-40.653175354003906
anju_Stress_L2_008.wav,GONE BY,-17.295787811279297,-1.4798469543457031,-16.115238189697266,-0.48218411207199097
anju_Stress_L2_009.wav,AND,-16.802867889404297,-7.604397773742676,-10.07419490814209,-4.685317516326904
anju_Stress_L2_037.wav,LEOPARD,-30.30764389038086,-10.229755401611328,-16.584102630615234,-21.87571144104004
bharati_Stress_L1_003.wav,STUDLEY,-20.780956268310547,-3.7717549800872803,-17.526464462280273,-2.0475401878356934
bharati_Stress_L1_008.wav,BEFORE,-15.70999526977539,-0.5496121048927307,-14.765361785888672,-1.8663522005081177
bharati_Stress_L1_012.wav,MAGNIFICENTLY,-15.974433898925781,-0.231753870844841,-15.76611614227295,-0.15363387763500214
bharati_Stress_L2_001.wav,RIGHT PLACE,-20.70018196105957,-0.41187039017677307,-20.325010299682617,-0.2895337641239166
bharati_Stress_L2_003.wav,NOT ME,-13.697844505310059,-0.21014449000358582,-13.394761085510254,-0.5199385285377502
bharati_Stress_L2_005.wav,GOOD BYE,-16.539798736572266,-0.39230507612228394,-16.04354476928711,-0.7388021945953369
bharati_Stress_L2_006.wav,GOOD MORNING,-15.184717178344727,-0.2498674988746643,-14.91603946685791,-0.3125678300857544
bharati_Stress_L2_007.wav,GONE PAST,-21.57710838317871,-0.24750900268554688,-19.85293960571289,-5.169713497161865
bharati_Stress_L2_008.wav,GONE BACK,-16.627208709716797,-0.2422744780778885,-16.453733444213867,-0.012947206385433674
bharati_Stress_L2_009.wav,TEN MEN,-18.34008026123047,-0.2703692615032196,-18.146175384521484,-0.0154791921377182
bharati_Stress_L3_001.wav,BLACK AND WHITE,-14.933334350585938,-0.41219332814216614,-14.640250205993652,-0.015162023715674877
bharati_Stress_L4_001.wav,ITS COLD,-14.486665725708008,-0.414145290851593,-13.758430480957031,-1.461112380027771
bharati_Stress_L4_004.wav,I WAS HERE,-16.797178268432617,-0.3447698950767517,-16.538105010986328,-0.05910618230700493
bharati_Stress_L4_005.wav,SHE IS HOME,-17.357528686523438,-0.3368505835533142,-17.119192123413086,-0.0084680849686265
bharati_Stress_L4_006.wav,SHE IS AT HOME,-16.496370315551758,-0.4397728443145752,-16.131208419799805,-0.19106745719909668
bharati_Stress_L4_009.wav,WILL SHE,-15.84593677520752,-2.7210445404052734,-13.881138801574707,-0.20022258162498474
bibin_Stress_L1_003.wav,STUDLEY,-20.185348510742188,-2.997063398361206,-17.526464462280273,-1.8698009252548218
bibin_Stress_L1_008.wav,THE FOE,-31.479537963867188,-15.259218215942383,-15.528881072998047,-17.564010620117188
bibin_Stress_L1_012.wav,MARK M E,-36.60247802734375,-13.381515502929688,-20.607364654541016,-22.093515396118164
bibin_Stress_L2_001.wav,A RIGHT PLACE,-20.1436767578125,-0.33197760581970215,-19.883302688598633,-0.09329909086227417
bibin_Stress_L2_003.wav,NOT ME,-13.73299789428711,-0.3137301802635193,-13.394761085510254,-0.3954179286956787
bibin_Stress_L2_005.wav,GOOD BYE,-18.545394897460938,-3.4765219688415527,-16.04354476928711,-0.22762005031108856
bibin_Stress_L2_006.wav,GOOD MORNING,-15.067523956298828,-0.19989071786403656,-14.91603946685791,-0.03854067996144295
bibin_Stress_L2_007.wav,GONE FAST,-20.301729202270508,-0.7767038345336914,-19.640275955200195,-0.3925420641899109
bibin_Stress_L2_008.wav,GONE BY,-17.286781311035156,-1.0507360696792603,-16.115238189697266,-1.4534255266189575
bibin_Stress_L2_009.wav,TEN MEN,-18.647113800048828,-0.4612022042274475,-18.146175384521484,-0.5936517119407654
bibin_Stress_L3_001.wav,BLACK AND WHITE,-26.284839630126953,-9.274043083190918,-14.640250205993652,-17.175865173339844
